DATE,GDPCAP
1/1/01,57440
1/1/02,59788
1/1/03,60127
1/1/04,58784
1/1/05,59236
1/1/06,58696
1/1/07,59581
1/1/08,58384
1/1/09,54193
1/1/10,55781
1/1/11,54787
1/1/12,54322
1/1/13,54048
1/1/14,52120
1/1/15,54102
1/1/16,54956
1/1/17,55887
