State,Year,Consumption(Mn)
Utah,2030,1545.605591
Vermont,2030,647.6697998
Virginia,2030,2466.112305
Washington,2030,3776.858643
West Virginia,2030,1524.075073
Wisconsin,2030,13978.6084
Wyoming,2030,376.1300049
Alabama,2025,2630.272217
Alaska,2025,21.92259979
Arizona,2025,650.6530762
Arkansas,2025,1937.953613
California,2025,13849.45313
Colorado,2025,1413.090332
Connecticut,2025,1821.581055
Delaware,2025,523.4172974
District of Columbia,2025,7.260900021
Florida,2025,3271.80542
Georgia,2025,4022.192627
Hawaii,2025,7.92840004
Idaho,2025,266.8819885
Illinois,2025,39962.20703
Indiana,2025,40459.87891
Iowa,2025,3534.077637
Kansas,2025,1512.524902
Kentucky,2025,7665.775879
Louisiana,2025,3373.533447
Maine,2025,477.9981079
Maryland,2025,1671.487915
Massachusetts,2025,2659.930176
Minnesota,2025,7232.173828
Mississippi,2025,1767.375977
Missouri,2025,3389.968994
Montana,2025,190.4888
Nebraska,2025,1303.579224
Nevada,2025,479.6802979
New Hampshire,2025,303.1875916
New Jersey,2025,6441.821777
New Mexico,2025,201.0962982
New York,2025,7088.217285
North Carolina,2025,6363.100098
North Dakota,2025,1166.485474
Ohio,2025,53529.8125
Oklahoma,2025,1025.989624
Oregon,2025,524.3510742
Pennsylvania,2025,7894.678711
Rhode Island,2025,321.3489075
South Carolina,2025,3109.624268
South Dakota,2025,341.6354065
Tennessee,2025,6303.264648
Texas,2025,13376.07617
Utah,2025,1363.352173
Vermont,2025,585.2319336
Virginia,2025,2217.998291
Washington,2025,3319.749268
West Virginia,2025,1434.209595
Wisconsin,2025,12461.24512
Wyoming,2025,364.0043945
Alabama,2020,2372.281982
Alaska,2020,20.05649948
Arizona,2020,547.1679077
Arkansas,2020,1745.910645
California,2020,11743.83008
Colorado,2020,1231.266479
Connecticut,2020,1699.287842
Delaware,2020,480.1585999
District of Columbia,2020,6.703199863
Florida,2020,2868.876465
Georgia,2020,3740.139893
Hawaii,2020,7.748300076
Idaho,2020,240.0966034
Illinois,2020,36320.07813
Indiana,2020,36815.58984
Iowa,2020,3196.807373
Kansas,2020,1381.871948
Kentucky,2020,6989.27832
Louisiana,2020,3024.572754
Maine,2020,456.366394
Maryland,2020,1537.438721
Massachusetts,2020,2362.605225
Minnesota,2020,6608.728516
Mississippi,2020,1499.156616
Missouri,2020,3040.146484
Montana,2020,197.9944
Nebraska,2020,1186.276123
Nevada,2020,450.1157227
New Hampshire,2020,277.3988953
New Jersey,2020,5757.630859
New Mexico,2020,186.9367981
New York,2020,6370.353516
North Carolina,2020,5792.016113
North Dakota,2020,1111.486572
Ohio,2020,49192.05469
Oklahoma,2020,914.2825317
Oregon,2020,465.4210815
Pennsylvania,2020,7159.188477
Rhode Island,2020,284.5069885
South Carolina,2020,2855.489258
South Dakota,2020,299.581604
Tennessee,2020,5650.351074
Texas,2020,11716.31543
Utah,2020,1201.069458
Vermont,2020,525.0786133
Virginia,2020,1965.439941
Washington,2020,2897.498047
West Virginia,2020,1359.289185
Wisconsin,2020,11094.52734
Wyoming,2020,351.2052002
Alabama,2015,2104.08252
Alaska,2015,17.92420006
Arizona,2015,452.6767883
Arkansas,2015,1584.15918
California,2015,9790.424805
Colorado,2015,1057.971436
Connecticut,2015,1538.038086
Delaware,2015,425.3982849
District of Columbia,2015,5.687299728
Florida,2015,2503.094482
Georgia,2015,3450.466309
Hawaii,2015,7.458400249
